num_rooms,floor,area_sqft,price
3,2,731.9,223200.0
3,5,785.8,225000.0
3,2,785.8,217800.0
4,8,1108.7,322200.0
4,5,1119.4,315720.0
4,2,1001.0,297000.0
4,14,1119.4,352800.0
4,8,979.5,315720.0
4,5,1162.5,346500.0
4,8,979.5,310500.0
4,8,1087.2,360000.0
4,2,904.2,293299.2
4,5,904.2,292500.0
4,5,1001.0,301500.0
4,5,904.2,299700.0
4,8,904.2,256500.0
4,5,904.2,274500.0
4,5,1108.7,292500.0
4,2,1011.8,279000.0
4,8,1011.8,292500.0
4,23,968.8,385200.0
4,8,1108.7,360000.0
4,5,1151.7,315000.0
4,2,1194.8,358200.0
4,5,1001.0,297000.0
4,5,1076.4,369000.0
4,8,1001.0,297000.0
4,2,1033.3,279000.0
4,5,1001.0,288900.0
5,5,1291.7,522000.0
5,11,1302.4,419400.0
5,8,1603.8,520650.0
5,5,1302.4,441000.0
5,5,1313.2,349200.0
5,23,1270.1,513000.0
5,26,1270.1,517500.0
5,11,1184.0,465300.0
5,23,1270.1,493200.0
5,2,1420.8,436500.0
5,26,1442.4,486000.0
2,11,376.7,184500.0
2,11,505.9,175500.0
2,8,505.9,364500.0
3,26,667.4,616500.0
3,23,667.4,630000.0
3,5,721.2,297000.0
3,5,742.7,531000.0
3,11,699.7,270000.0
3,8,818.1,268200.0
3,5,624.3,279900.0
3,2,624.3,238500.0
3,5,624.3,270000.0
3,17,645.8,473400.0
3,14,645.8,488700.0
3,29,667.4,529200.0
3,8,667.4,432000.0
3,35,667.4,540000.0
3,11,882.6,378000.0
3,2,699.7,279000.0
3,5,785.8,301500.0
3,11,635.1,239400.0
3,5,635.1,217800.0
3,14,731.9,517500.0
3,14,721.2,547999.2000000001
3,11,635.1,250200.0
3,5,947.2,486000.0
3,5,947.2,522000.0
3,2,947.2,526500.0
4,17,1001.0,907200.0
4,32,990.3,871200.0
4,14,1076.4,754200.0
4,11,968.8,693000.0
4,8,979.5,545400.0
4,2,1011.8,646200.0
4,5,1162.5,531000.0
4,2,968.8,529200.0
4,8,979.5,612000.0
4,2,914.9,576000.0
4,5,990.3,576000.0
4,17,1001.0,682200.0
4,17,1087.2,655999.2000000001
4,2,1076.4,560250.0
4,26,1076.4,729000.0
4,20,1076.4,711000.0
4,2,1054.9,414000.0
4,8,979.5,400500.0
5,5,1205.6,882000.0
5,17,1485.4,661500.0
5,14,1184.0,873000.0
5,26,1237.8,627199.2000000001
5,29,1184.0,799200.0
5,20,1237.8,729000.0
5,20,1237.8,792000.0
5,5,1227.1,742500.0
5,26,1184.0,742500.0
5,8,1313.2,565200.0
5,17,1237.8,761299.2000000001
5,8,1356.3,747000.0
5,23,1324.0,742500.0
5,8,1184.0,657000.0
5,26,1259.4,522000.0
2,14,505.9,207000.0
2,14,505.9,212220.0
3,2,785.8,225000.0
3,17,731.9,288000.0
3,5,731.9,283500.0
3,2,785.8,268200.0
3,5,785.8,256500.0
3,5,785.8,250200.0
3,5,785.8,254700.0
3,14,721.2,293400.0
3,14,721.2,292500.0
3,11,721.2,297000.0
3,14,721.2,301500.0
3,17,721.2,297000.0
3,17,721.2,294300.0
3,14,721.2,297000.0
4,8,1119.4,328500.0
4,2,1108.7,270000.0
4,8,1108.7,306000.0
4,8,1087.2,373500.0
4,14,1141.0,316800.0
4,8,904.2,270000.0
4,8,1087.2,306000.0
4,11,1119.4,310500.0
4,2,1119.4,279900.0
4,8,1119.4,310500.0
4,5,1076.4,410299.2
4,8,1108.7,306000.0
4,5,968.8,292500.0
4,14,1087.2,322200.0
4,23,1076.4,378000.0
4,17,1108.7,344700.0
4,8,1076.4,351000.0
4,14,1087.2,423000.0
4,20,968.8,391500.0
4,5,968.8,396000.0
4,8,968.8,445500.0
4,2,1119.4,279000.0
4,8,904.2,266400.0
4,11,1108.7,337500.0
4,20,1108.7,495000.0
4,2,1097.9,427500.0
4,5,1119.4,293850.0
4,8,904.2,288000.0
4,2,904.2,234000.0
4,11,1001.0,364500.0
4,11,1001.0,407700.0
4,11,990.3,405000.0
4,8,990.3,288000.0
4,14,1001.0,369000.0
4,5,1001.0,362700.0
